task_id,robot_id,operator_id,task_type,start_datetime,end_datetime,duration_minutes,source_zone,destination_zone,product_sku,quantity_units,weight_kg,task_status,priority_level,error_occurred,error_code,completion_rate_pct,energy_consumed_kwh,shift,batch_id_ref
17999707,1821851,3421647,Place,2024-03-29,2024-03-29 00:17:00,17,A,C,SKU30644,22,2.17,Completed,5,0,0000,98.93,1.019,Night,4444287
14968519,1474264,3024529,Pick,2024-03-15,2024-03-15 00:01:00,1,B,B,SKU95261,57,6.81,Completed,2,0,0000,96.93,0.786,Afternoon,4464512
12674075,1523262,3014338,Maintenance,2023-11-20,2023-11-20 00:06:00,6,E,D,SKU49541,59,5.47,Cancelled,3,0,0000,95.04,1.253,Afternoon,4795866
17537780,1285032,3111735,Transport,2024-04-01,2024-04-01 00:08:00,8,C,E,SKU96752,9,10.83,Completed,3,0,0000,98.62,1.436,Afternoon,4389726
16095188,1004330,3236627,Replenishment,2024-08-01,2024-08-01 00:10:00,10,D,C,SKU25095,40,16.86,Completed,2,0,0000,98.3,1.242,Afternoon,4752173
13123263,1299257,3750067,Transport,2023-08-15,2023-08-15 00:23:00,23,A,C,SKU14366,132,58.2,Completed,3,0,0000,99.95,1.256,Morning,4688434
17602528,1371328,3665298,Transport,2024-08-01,2024-08-01 00:08:00,8,E,D,SKU32237,66,30.13,Partial,4,0,0000,97.71,0.155,Afternoon,4043100
16849911,1055399,3775433,Place,2024-01-06,2024-01-06 00:03:00,3,C,B,SKU89348,58,35.39,Completed,4,0,0000,96.65,0.087,Night,4450673
12559896,1576798,3920349,Maintenance,2025-04-17,2025-04-17 00:38:00,38,B,D,SKU90559,83,49.17,Completed,2,1,4474,8.0,0.034,Night,4164825
16523226,1185559,3718732,Place,2024-11-11,2024-11-11 00:18:00,18,C,E,SKU85501,11,18.79,Failed,5,0,0000,96.68,2.331,Night,4161310
16704473,1292840,3997386,Pick,2025-02-10,2025-02-10 00:53:00,53,A,B,SKU43644,57,2.39,Failed,5,0,0000,99.19,0.893,Afternoon,4211338
12669712,1125738,3215604,Place,2024-05-02,2024-05-02 00:19:00,19,C,E,SKU40175,51,23.32,Completed,5,0,0000,98.92,0.176,Morning,4490124
13030705,1178920,3610574,Transport,2025-01-26,2025-01-26 00:23:00,23,D,B,SKU23754,59,45.67,Cancelled,2,0,0000,95.59,0.628,Afternoon,4912136
14762898,1061676,3995123,Charging,2024-05-10,2024-05-10 00:48:00,48,A,D,SKU53657,54,0.5,Partial,3,0,0000,98.21,3.418,Morning,4066681
16218451,1467123,3848839,Replenishment,2023-01-20,2023-01-20 00:09:00,9,B,D,SKU74835,74,44.67,Completed,4,0,0000,99.27,0.672,Morning,4604178
12991855,1835702,3968186,Inspection,2023-10-14,2023-10-14 00:15:00,15,A,Shipping,SKU39261,79,35.54,Cancelled,3,0,0000,99.17,0.312,Night,4428960
