robot_id,robot_type,manufacturer,model_name,serial_number,purchase_date,installation_date,last_maintenance_date,next_maintenance_date,battery_capacity_kwh,max_payload_kg,max_speed_ms,warehouse_zone,current_status,firmware_version,total_operating_hours,total_tasks_completed,error_count_lifetime,maintenance_count,is_active
2841064,Arm,Fanuc,MDL-1971,88958554,2022-12-03,2020-12-18,2025-02-04,2025-10-25,22.61,100,1.56,B,Maintenance,v4.1,76.8,2097,11,1,0
1957876,AMR,Locus,MDL-2823,37602214,2018-06-10,2019-07-05,2024-07-23,2025-11-11,33.29,100,3.16,B,Active,v4.0,198.2,4417,47,23,1
1968491,AMR,Kuka,MDL-3046,29890796,2024-06-24,2021-12-10,2024-10-07,2026-03-25,76.85,200,2.46,C,Active,v4.0,492.1,3588,31,31,1
1917818,Palletizer,Kuka,MDL-1998,99194281,2021-01-10,2020-06-11,2024-03-21,2025-10-12,7.34,500,1.05,B,Maintenance,v4.2,2118.9,6234,11,28,1
1963172,AMR,OMRON,MDL-9052,87870210,2020-12-10,2018-06-07,2025-02-02,2026-03-03,60.14,500,1.52,E,Active,v4.1,719.4,6347,7,25,1
1111008,Depalletizer,Kuka,MDL-7627,86873155,2021-08-31,2021-12-26,2025-03-01,2026-03-23,54.38,100,2.53,D,Active,v4.2,1937.0,9271,12,7,1
1835248,Sorter,OMRON,MDL-6491,93844954,2020-01-17,2022-06-09,2025-04-13,2025-12-18,73.27,200,3.29,A,Active,v4.2,531.5,5305,19,10,1
1407490,Depalletizer,Locus,MDL-1802,28539556,2023-06-01,2019-03-04,2024-02-12,2025-11-17,45.26,100,2.17,F,Charging,v3.2,3222.2,5564,65,26,1
1988492,Palletizer,ABB,MDL-3794,38464131,2018-01-02,2023-12-11,2025-01-26,2025-09-21,8.27,1000,1.99,E,Charging,v4.0,1560.0,8932,53,44,1
2164138,Depalletizer,ABB,MDL-1170,83311407,2019-06-01,2022-02-01,2024-03-18,2026-04-04,9.8,100,2.19,A,Decommissioned,v3.2,171.5,3443,54,18,1
1828900,AGV,Geek+,MDL-8749,52303603,2018-08-21,2024-01-26,2025-03-10,2026-02-24,32.84,500,2.22,B,Active,v4.0,1847.6,5723,25,31,1
1189058,Arm,ABB,MDL-9783,17741474,2022-07-22,2019-04-03,2024-03-02,2025-09-08,67.06,100,1.0,B,Idle,v3.1,2707.4,3273,1,10,1
1795140,AMR,ABB,MDL-3687,68256556,2020-05-28,2022-08-08,2024-01-15,2026-02-20,65.95,100,2.68,C,Active,v4.0,213.9,3917,13,6,1
1490469,AMR,OMRON,MDL-2629,53546768,2019-10-12,2019-03-19,2025-01-06,2025-12-04,13.37,500,3.41,B,Active,v3.1,6711.3,4323,32,35,1
1492231,AGV,Locus,MDL-6178,75010722,2019-05-13,2023-05-18,2024-01-07,2026-03-25,76.7,50,1.74,A,Idle,v4.2,794.0,7798,33,43,1
1111442,Cobot,Fanuc,MDL-5349,37197983,2022-05-01,2019-06-02,2024-05-28,2025-11-09,55.42,100,1.1,B,Active,v4.2,1050.5,2178,1,19,1
1231292,AGV,Geek+,MDL-7139,94679342,2023-01-05,2021-11-14,2024-03-27,2026-06-10,8.86,50,0.91,C,Idle,v3.2,1305.5,4331,42,31,0
1293198,AMR,ABB,MDL-6815,90834017,2018-07-01,2022-06-01,2024-10-27,2025-07-29,34.78,100,2.71,A,Active,v4.0,155.0,3511,5,26,1
1359004,Palletizer,Kuka,MDL-9914,21457642,2021-10-09,2021-06-13,2024-01-15,2026-04-08,65.9,500,1.44,B,Active,v4.1,210.6,9485,24,18,1
1874402,AMR,OMRON,MDL-9512,53428760,2024-04-25,2019-09-30,2024-10-23,2025-10-03,32.54,500,1.97,E,Idle,v3.2,958.8,5446,6,17,1
1235085,AMR,Geek+,MDL-4567,97797938,2022-10-27,2021-11-04,2024-10-01,2026-01-09,74.44,100,1.5,A,Decommissioned,v3.1,1158.9,4645,24,10,1
1375175,AGV,ABB,MDL-1974,42627522,2020-03-04,2022-06-01,2024-01-10,2025-10-20,12.13,200,2.82,B,Active,v4.2,4292.4,1969,40,36,1
1772345,AGV,Kuka,MDL-8169,82533887,2022-09-03,2018-12-21,2024-04-17,2025-10-18,76.35,200,3.18,A,Charging,v4.1,2037.9,8246,9,33,1
1489290,AMR,Fanuc,MDL-9001,50820229,2022-01-24,2021-03-30,2024-04-30,2026-06-02,15.61,50,2.98,B,Maintenance,v4.0,1073.6,5776,15,46,1
1810576,AGV,Geek+,MDL-7414,42001701,2018-04-20,2020-06-30,2024-09-25,2025-06-20,39.71,100,2.72,A,Idle,v4.1,205.5,6853,12,36,0
1565510,Sorter,Kuka,MDL-5048,13936372,2024-08-02,2023-03-31,2024-06-04,2026-01-11,70.99,100,2.25,B,Active,v4.1,1755.4,3845,9,46,1
1565816,AGV,Locus,MDL-6622,67156315,2018-05-19,2023-10-29,2025-04-15,2026-01-15,60.3,1000,3.08,D,Active,v4.2,1322.3,8187,31,7,1
1141135,AMR,ABB,MDL-8955,93637662,2021-09-20,2018-09-12,2024-10-24,2025-06-29,75.59,200,0.98,A,Maintenance,v4.1,2720.6,2811,51,15,1
1169876,Sorter,Geek+,MDL-3308,32081768,2019-08-25,2023-08-13,2024-02-13,2025-09-24,32.46,1000,0.5,B,Active,v4.2,4968.5,9953,28,43,1
1257208,AMR,Geek+,MDL-1347,81231397,2020-08-22,2019-06-17,2024-05-24,2026-02-08,62.26,50,2.33,E,Maintenance,v4.1,4591.2,7889,33,43,1
1813706,Arm,ABB,MDL-5702,95667517,2022-09-29,2019-03-21,2025-03-23,2025-11-21,33.16,100,0.95,B,Idle,v4.1,1791.4,2957,5,14,1
1180306,AMR,6 River,MDL-2597,66170234,2022-12-26,2019-10-19,2024-01-15,2025-11-21,6.83,100,3.39,B,Idle,v4.2,3460.5,2028,31,6,1
1022492,Depalletizer,Fanuc,MDL-1887,82715697,2024-07-20,2022-05-17,2025-03-22,2025-10-25,7.11,1000,2.22,D,Active,v5.0,1009.3,1820,43,10,1
1920450,AGV,ABB,MDL-1676,20794147,2024-11-21,2019-07-16,2024-11-03,2025-10-16,8.4,500,0.97,C,Maintenance,v5.0,1349.3,9029,16,4,1
1162893,AGV,Fanuc,MDL-2324,28897058,2020-11-12,2019-03-10,2024-01-29,2025-09-30,68.38,50,0.85,B,Decommissioned,v4.2,12113.3,6173,26,6,1
1622142,Arm,ABB,MDL-6570,33975173,2024-06-21,2022-06-13,2025-01-16,2026-05-15,55.43,50,3.26,F,Maintenance,v4.0,1140.3,8253,14,36,1
1022049,AGV,ABB,MDL-7308,49584390,2021-12-04,2020-08-16,2024-05-24,2025-10-02,39.01,500,3.47,A,Active,v3.2,3484.8,3162,18,37,1
