order_id,product_id,batch_id,order_date,planned_start_datetime,actual_start_datetime,planned_end_datetime,actual_end_datetime,planned_quantity_units,actual_quantity_units,unit_of_measure,production_line,shift,operator_id,quality_score,rejection_rate_pct,order_status,robot_assisted,energy_consumed_kwh,rework_required
27599649,1706734,4457684,2022-12-22,2023-02-07,2023-02-06 23:00:00,2023-02-08 22:00:00,2023-02-08 21:00:00,7082,7377,Tin,Line-1,Morning,3232493,87.75,0.643,Completed,1,43.22,0
21744124,1570886,4881539,2024-04-07,2022-08-31,2022-08-30 22:00:00,2022-09-01 23:00:00,2022-09-01 21:00:00,48917,47544,Tin,Line-1,Afternoon,3642587,75.54,2.354,Completed,1,82.47,0
21840175,1321410,4200245,2023-09-14,2022-12-06,2022-12-06 05:00:00,2022-12-06 14:00:00,2022-12-06 18:00:00,2025,1915,Pouch,Line-2,Night,3306424,78.88,0.094,Completed,1,130.84,0
21312528,1101242,4381197,2024-12-17,2023-04-26,2023-04-26 05:00:00,2023-04-26 19:00:00,2023-04-27 05:00:00,23505,24675,Box,Line-2,Night,3637398,69.04,0.335,Completed,1,51.58,0
29507952,1170409,4912584,2024-11-30,2022-11-15,2022-11-14 22:00:00,2022-11-15 09:00:00,2022-11-15 10:00:00,19314,19910,Carton,Line-1,Night,3611591,93.99,0.179,In-Progress,1,126.37,0
22089843,1501740,4447584,2023-05-02,2025-01-12,2025-01-12 07:00:00,2025-01-12 20:00:00,2025-01-13 06:00:00,30028,25697,Tin,Line-3,Night,3452244,71.77,2.602,Completed,0,69.54,0
22232147,1927385,4436000,2022-11-27,2022-08-21,2022-08-20 23:00:00,2022-08-23 16:00:00,2022-08-23 17:00:00,34787,35030,Tin,Line-5,Morning,3823394,72.0,0.376,Completed,1,77.28,0
29146061,1387291,4787069,2023-06-23,2025-02-10,2025-02-10 03:00:00,2025-02-12 15:00:00,2025-02-12 23:00:00,27594,24529,Tin,Line-4,Afternoon,3410141,77.47,0.031,Completed,1,33.42,0
28832695,1531365,4296107,2024-12-29,2024-04-19,2024-04-18 22:00:00,2024-04-20 02:00:00,2024-04-20 02:00:00,16889,16388,Pouch,Line-1,Morning,3781221,88.32,2.46,Completed,1,36.49,0
28896123,1295103,4675322,2023-08-21,2023-02-17,2023-02-17 03:00:00,2023-02-18 19:00:00,2023-02-19 01:00:00,1620,1691,Tin,Line-1,Night,3091701,90.64,2.038,In-Progress,1,45.54,0
25288074,1160258,4631586,2025-02-16,2025-01-10,2025-01-10 01:00:00,2025-01-10 18:00:00,2025-01-11 00:00:00,44641,44282,Tin,Line-4,Morning,3978560,88.43,0.739,Scheduled,0,380.88,0
22039650,1563723,4883481,2024-10-08,2022-08-17,2022-08-17 03:00:00,2022-08-17 19:00:00,2022-08-17 23:00:00,12118,10585,Tin,Line-2,Afternoon,3939398,71.02,3.123,Completed,1,233.23,1
22554026,1921399,4071968,2024-12-16,2022-10-06,2022-10-06 05:00:00,2022-10-07 03:00:00,2022-10-07 13:00:00,22406,19673,Box,Line-2,Afternoon,3380996,94.54,2.287,On-Hold,1,10.56,0
24101630,1796376,4821928,2023-07-08,2024-06-08,2024-06-07 22:00:00,2024-06-08 18:00:00,2024-06-08 21:00:00,45555,40357,Tin,Line-1,Night,3064905,90.82,5.305,Completed,1,93.53,0
28333576,1676650,4775859,2024-04-15,2024-07-05,2024-07-05 06:00:00,2024-07-07 19:00:00,2024-07-08 05:00:00,16642,16856,Tin,Line-4,Morning,3540656,73.14,2.611,In-Progress,1,321.06,0
20393145,1535534,4184854,2023-03-18,2022-06-25,2022-06-25 04:00:00,2022-06-26 10:00:00,2022-06-26 15:00:00,998,980,Box,Line-4,Night,3225833,98.05,0.28,Completed,0,45.92,0
28583249,1613795,4332157,2022-10-15,2024-04-02,2024-04-02 03:00:00,2024-04-03 14:00:00,2024-04-03 22:00:00,2336,2110,Tin,Line-1,Morning,3142975,70.37,2.169,Scheduled,0,89.25,0
28351678,1603365,8420283,2022-05-14,2024-05-10,2024-05-10 01:00:00,2024-05-12 04:00:00,2024-05-12 09:00:00,33080,33202,Tin,Line-3,Afternoon,3041310,98.11,0.374,Completed,1,53.94,0
26182421,1753827,4409243,2024-11-25,2024-06-18,2024-06-18 01:00:00,2024-06-19 01:00:00,2024-06-19 06:00:00,5527,5006,Tin,Line-4,Afternoon,3558479,79.59,0.586,In-Progress,1,157.24,0
23354325,1238461,4920741,2024-10-09,2023-11-05,2023-11-04 23:00:00,2023-11-06 01:00:00,2023-11-06 03:00:00,11387,10760,Pouch,Line-1,Night,3692115,62.26,0.83,Completed,0,238.12,0
27427690,1142997,4557976,2023-08-26,2023-09-13,2023-09-13 00:00:00,2023-09-14 23:00:00,2023-09-15 01:00:00,19020,19583,Tin,Line-2,Afternoon,3668924,84.51,3.43,In-Progress,1,126.05,0
24661540,1034841,4026081,2023-11-21,2024-11-14,2024-11-14 05:00:00,2024-11-16 23:00:00,2024-11-17 07:00:00,34853,31598,Tin,Line-1,Morning,3639036,80.31,5.041,In-Progress,1,10.0,0
