product_id,product_name,sku,category,formula_type,age_group_months,package_size_g,package_type,unit_price_usd,cost_price_usd,country_of_origin,certification,shelf_life_days,storage_temp_min_c,storage_temp_max_c,protein_content_pct,fat_content_pct,is_organic,is_allergen_free,is_active
1002915,BabyGold Organic S2,SKU61855,Infant Formula,Soy-Based,24-36,800,Tin,33.17,19.14,New Zealand,HACCP,548,20,28,3.78,3.76,0,1,1
1391022,MilkPure Toddler,SKU99295,Infant Formula,Hydrolyzed,0-6,1000,Carton,61.2,27.96,New Zealand,None,365,18,28,2.1,4.96,0,1,1
1607459,NutriStart Stage 1,SKU19940,Toddler Milk,Whey-Based,24-36,600,Tin,45.7,33.82,New Zealand,Organic,730,15,30,2.11,2.96,0,0,1
1067277,NutriStart Stage 2,SKU86469,Follow-On Formula,Hydrolyzed,6-12,400,Tin,24.6,5.86,Germany,Kosher,548,15,25,1.27,4.73,0,0,1
1657991,NutriStart Stage 1,SKU99941,Infant Formula,Hydrolyzed,36+,800,Tin,17.18,8.76,Australia,ISO22000,548,20,30,1.6,4.29,0,1,1
1858927,BetaBoost Follow-On,SKU17091,Infant Formula,Whey-Based,0-6,900,Carton,26.57,37.43,New Zealand,Halal,548,20,28,2.25,3.15,0,0,0
1423103,NutriStart Stage 2,SKU57982,Toddler Milk,Casein-Based,12-24,1800,Pouch,63.53,36.89,USA,Organic,912,20,30,2.38,4.2,0,0,1
1227376,LactoFree Infant,SKU43555,Toddler Milk,Amino Acid-Based,0-6,600,Carton,58.35,14.56,New Zealand,Organic,912,15,30,3.37,3.9,0,0,1
1255152,NutriStart Stage 1,SKU79113,Toddler Milk,Soy-Based,6-12,800,Pouch,16.68,4.15,Australia,Halal,548,18,30,3.49,4.59,0,0,1
1613795,MilkPure Toddler,SKU41466,Toddler Milk,Whey-Based,36+,900,Tin,24.3,10.45,Germany,HACCP,365,20,30,3.26,2.92,1,1,1
1179341,NutriStart Stage 1,SKU61086,Follow-On Formula,Whey-Based,24-36,400,Tin,37.4,8.39,Ireland,ISO22000,730,20,30,3.11,2.67,0,0,1
1103098,NutriStart Stage 2,SKU12151,Infant Formula,Hydrolyzed,0-6,1800,Tin,23.96,28.57,Netherlands,ISO22000,548,15,25,2.83,4.41,0,0,1
1729147,ProGrow S2,SKU27168,Follow-On Formula,Casein-Based,6-12,800,Pouch,55.89,35.75,Australia,None,548,20,25,2.04,5.12,0,1,1
1560260,BabyGold Organic S2,SKU56935,Toddler Milk,Casein-Based,0-6,900,Tin,12.2,12.19,New Zealand,Kosher,548,20,28,3.51,4.85,0,1,1
1922364,LactoFree Infant,SKU47913,Toddler Milk,Whey-Based,6-12,800,Pouch,14.82,20.62,Germany,HACCP,365,18,28,2.02,3.25,1,0,1
1595754,SoyaBliss Toddler,SKU20224,Follow-On Formula,Hydrolyzed,0-6,400,Pouch,23.53,28.74,Netherlands,HACCP,548,18,25,2.09,3.93,0,1,1
1250388,BetaBoost Follow-On,SKU79152,Infant Formula,Soy-Based,6-12,1000,Tin,29.98,35.22,New Zealand,Organic,548,20,28,1.86,5.29,1,0,1
1334638,LactoFree Infant,SKU78951,Specialty Formula,Casein-Based,36+,900,Pouch,34.25,26.09,Germany,ISO22000,730,18,30,3.32,4.68,0,0,0
1853159,MilkPure Toddler,SKU31699,Infant Formula,Whey-Based,12-24,1000,Tin,36.94,35.17,Ireland,HACCP,912,15,30,1.36,2.87,0,0,1
1162585,BabyGold Organic S1,SKU12434,Infant Formula,Whey-Based,12-24,200,Carton,20.68,31.71,Australia,ISO22000,365,15,25,1.95,3.47,0,1,1
1378364,BabyGold Organic S2,SKU18385,Follow-On Formula,Whey-Based,0-6,200,Tin,19.66,19.78,Ireland,ISO22000,548,20,30,1.2,3.21,0,1,1
1837006,LactoFree Infant,SKU89725,Follow-On Formula,Soy-Based,36+,600,Pouch,14.54,30.47,Australia,HACCP,365,15,25,3.53,5.28,0,0,0
1972071,NutriStart Stage 1,SKU14090,Toddler Milk,Whey-Based,0-6,600,Tin,63.87,10.75,Netherlands,ISO22000,365,15,30,1.8,3.99,0,1,1
1188189,NutriStart Stage 1,SKU10037,Infant Formula,Casein-Based,12-24,400,Box,41.22,32.68,New Zealand,HACCP,548,15,25,1.83,3.85,0,1,1
1346730,NutriStart Stage 3,SKU57550,Infant Formula,Casein-Based,12-24,1800,Pouch,43.01,24.23,Ireland,Halal,365,15,30,1.57,3.2,0,0,1
1714213,MilkPure Infant,SKU78731,Toddler Milk,Casein-Based,36+,400,Tin,43.64,22.45,Netherlands,Organic,730,20,25,1.25,4.87,0,0,1
1397377,SoyaBliss Toddler,SKU86138,Toddler Milk,Casein-Based,12-24,400,Pouch,16.72,30.66,Germany,HACCP,730,15,25,1.34,2.66,0,1,1
1906409,NutriStart Stage 2,SKU63344,Follow-On Formula,Whey-Based,6-12,800,Tin,48.78,32.69,New Zealand,ISO22000,730,15,25,3.22,4.93,0,1,1
1590724,MilkPure Infant,SKU80379,Toddler Milk,Whey-Based,0-6,400,Tin,17.46,24.95,Netherlands,None,365,18,28,3.03,3.08,0,1,1
1642311,MilkPure Infant,SKU34765,Specialty Formula,Casein-Based,24-36,200,Tin,49.13,13.03,New Zealand,Organic,548,18,25,1.28,3.41,0,0,1
1708747,NutriStart Stage 1,SKU59640,Follow-On Formula,Casein-Based,0-6,1800,Box,11.78,21.07,Australia,Halal,365,15,25,3.58,5.17,0,1,1
1211988,NutriStart Stage 3,SKU71897,Infant Formula,Whey-Based,6-12,1800,Carton,16.07,11.53,Netherlands,HACCP,730,15,28,2.56,3.62,0,0,1
1392976,MilkPure Follow-On,SKU81337,Toddler Milk,Hydrolyzed,0-6,200,Box,13.61,13.15,USA,Organic,730,20,28,1.28,3.25,0,0,0
1809066,SoyaBliss Toddler,SKU41146,Specialty Formula,Whey-Based,0-6,600,Pouch,16.29,38.14,Netherlands,HACCP,365,15,28,1.79,3.5,0,1,1
1088293,MilkPure Toddler,SKU30639,Infant Formula,Casein-Based,36+,900,Pouch,53.03,31.83,Ireland,Organic,365,20,25,2.15,5.19,0,1,1
1838455,MilkPure Toddler,SKU74099,Follow-On Formula,Casein-Based,24-36,800,Tin,59.29,21.18,Australia,HACCP,730,18,30,2.64,4.95,0,0,1
1363933,SoyaBliss Toddler,SKU13117,Follow-On Formula,Whey-Based,0-6,1800,Box,42.85,27.59,Netherlands,HACCP,730,15,25,2.32,4.41,0,1,1
1141879,SoyaBliss Infant,SKU63239,Specialty Formula,Soy-Based,0-6,1000,Box,12.82,39.54,Netherlands,Halal,365,20,28,1.65,4.5,1,0,1
1329923,BabyGold Organic S2,SKU92482,Follow-On Formula,Casein-Based,24-36,900,Pouch,46.43,38.49,Netherlands,Halal,912,20,28,1.35,3.06,0,0,1
1681359,MilkPure Follow-On,SKU74543,Follow-On Formula,Whey-Based,12-24,900,Pouch,42.15,14.31,USA,Kosher,730,20,28,1.23,5.05,0,0,1
1753269,BabyGold Organic S2,SKU68723,Toddler Milk,Hydrolyzed,6-12,1000,Tin,8.62,19.2,USA,ISO22000,912,18,25,3.05,2.68,1,0,1
1305626,NutriStart Stage 2,SKU36239,Specialty Formula,Whey-Based,24-36,800,Tin,9.21,30.13,USA,Organic,912,18,28,1.96,4.52,1,1,1
1431997,BabyGold Organic S2,SKU45322,Toddler Milk,Whey-Based,24-36,600,Tin,61.89,30.58,Netherlands,Kosher,365,15,28,1.64,3.6,0,0,1
1382883,NutriStart Stage 1,SKU91949,Follow-On Formula,Soy-Based,12-24,800,Tin,34.9,26.89,Netherlands,Halal,548,20,28,1.23,5.35,0,0,1
1085412,NutriStart Stage 3,SKU70670,Toddler Milk,Casein-Based,0-6,1000,Tin,58.48,20.42,Netherlands,Organic,365,18,30,2.4,4.98,0,0,1
1341033,NutriStart Stage 1,SKU54915,Infant Formula,Casein-Based,24-36,1000,Tin,29.71,13.59,USA,Organic,730,20,30,2.75,5.25,0,0,1
1032646,MilkPure Toddler,SKU52313,Toddler Milk,Whey-Based,0-6,400,Tin,22.71,26.17,New Zealand,ISO22000,730,20,25,3.19,3.67,0,0,1
1625486,BabyGold Organic S1,SKU94764,Infant Formula,Casein-Based,6-12,200,Pouch,31.77,23.24,New Zealand,Kosher,912,18,30,1.72,5.41,0,0,1
1601334,NutriStart Stage 3,SKU32471,Follow-On Formula,Whey-Based,36+,800,Tin,37.17,26.96,New Zealand,ISO22000,548,15,25,3.72,2.78,0,1,1
1013396,MilkPure Toddler,SKU35638,Specialty Formula,Hydrolyzed,12-24,800,Pouch,35.33,24.1,New Zealand,Kosher,730,18,30,2.72,4.24,1,0,1
1478214,MilkPure Infant,SKU42610,Follow-On Formula,Casein-Based,0-6,600,Tin,22.3,6.08,Netherlands,Organic,548,18,25,2.5,4.11,1,0,1
