movement_id,location_id,product_id,movement_type,movement_datetime,quantity_units,weight_kg,batch_number,expiry_date,operator_id,robot_id,source_location_id,destination_location_id,reason_code,po_number,invoice_number,unit_cost_usd,total_cost_usd,movement_status,temperature_at_movement_c
34305140,6204566,1887187,Outbound,2024-01-11,84,21.41,578985977,2025-03-13,3585105,1547458,6472695,6444369,RECV,97830587,INV596899,41.86,18807.3,Confirmed,28.2
31335246,6305924,1981108,Outbound,2024-03-12,151,23.27,200985192,2025-05-14,3987305,1254933,6233692,6088936,RECV,47269439,INV348910,53.91,26069.85,Confirmed,28.8
32431495,6877442,1095872,Transfer,2024-11-25,61,29.21,588617552,2026-05-08,3807042,1976368,6952447,6618796,SHIP,22342252,INV866623,31.83,15285.42,Confirmed,18.1
39225691,6498422,1111871,Return,2024-11-22,132,19.1,518703405,2026-04-08,3100766,1692499,6389593,6048706,ADJ+,84253540,INV206183,9.34,2821.38,Confirmed,23.1
35741097,6032989,1810175,Transfer,2023-10-11,49,19.3,950014135,2025-07-12,3287201,1133717,6847951,6262335,ADJ-,88448345,INV860591,11.78,30182.36,Pending,24.6
32435908,6515158,1187781,Transfer,2025-04-15,22,65.8,338638582,2026-03-01,3772101,1013610,6362244,6216010,ADJ+,41290150,INV775946,41.65,38384.01,Confirmed,23.0
34724770,6775123,1577110,Outbound,2024-07-23,101,50.27,754032614,2025-07-24,3676115,1827643,6473418,6463965,XFER,96370461,INV822258,53.97,43584.63,Confirmed,26.8
30240813,6349118,1876868,Inbound,2025-04-22,108,62.02,399678994,2027-02-16,3435770,1351344,6094091,6016905,XFER,39610535,INV689806,37.87,2949.65,Confirmed,20.2
37264473,6031214,1867252,Transfer,2025-01-13,69,11.01,169774272,2026-12-03,3421379,1115884,6138757,6036141,ADJ+,57736723,INV454263,11.98,36995.38,Pending,18.2
35559500,6073151,1291962,Transfer,2025-01-13,68,21.75,350143174,2026-11-03,3848182,1103868,6994730,6719561,RECV,31475396,INV230855,2.41,39310.39,Confirmed,20.1
33953963,6219449,9515779,Transfer,2022-07-22,52,18.74,218489488,2023-07-02,3900043,1723411,6956606,6237049,ADJ+,90214797,INV468564,26.53,34442.68,Confirmed,22.3
35825256,6061620,1674582,Adjustment,2025-04-22,120,31.88,712724310,2027-04-04,3676686,1381823,6573975,6607254,ADJ+,73223538,INV107156,31.33,14166.43,Pending,23.9
36419870,6594344,1672568,Inbound,2023-11-01,45,56.62,470887602,2025-06-13,3428545,1113108,6826469,6852538,SHIP,11159820,INV266823,15.55,16085.63,Error,16.0
39347228,6764137,1575616,Outbound,2022-02-20,103,87.6,419588418,2023-10-26,3598745,1424825,6486978,6703786,ADJ+,20134973,INV673431,49.99,5217.74,Confirmed,17.6
