location_id,warehouse_zone,aisle,rack,shelf,bin,location_type,capacity_kg,capacity_units,current_occupancy_pct,temperature_controlled,min_temp_c,max_temp_c,humidity_controlled,last_audit_date,location_status,rack_height_m,load_type,barcode,is_active
6543272,A,27,9,4,8,Bulk,1000,1550,87.96,0,15,30,0,2024-12-24,Blocked,4.85,Tote,5270021260,1
6603820,A,12,4,5,4,Overflow,1000,1318,54.16,0,2,20,0,2024-04-16,Occupied,4.2,Pallet,4386220189,1
6365607,A,29,10,3,2,Bulk,1000,1531,54.41,1,2,25,0,2024-04-09,Occupied,5.63,Tote,8621265933,1
6851531,E,10,9,5,1,Staging,1000,1321,17.04,0,15,25,0,2024-10-12,Occupied,7.17,Carton,9464335131,1
6706225,B,13,8,4,8,Pick,1000,1388,20.65,1,10,20,1,2024-03-08,Occupied,4.85,Carton,1724750605,1
6748133,A,19,16,6,8,Pick,1500,1407,61.55,0,2,8,0,2024-01-23,Occupied,11.76,Bulk,2367036554,1
6838054,B,5,15,2,2,Bulk,3000,1061,84.41,1,18,30,0,2024-07-04,Occupied,8.19,Tote,1088020795,1
6934034,C,26,5,4,6,Bulk,1500,958,67.48,0,15,20,0,2024-09-27,Blocked,5.34,Bulk,4830037687,1
6700893,C,3,14,1,9,Quarantine,500,179,47.53,0,15,30,0,2025-02-16,Reserved,2.8,Tote,2160043004,1
6900155,D,22,4,1,5,Quarantine,1500,1253,70.69,1,10,25,0,2025-03-01,Available,4.49,Tote,4507634120,1
6337382,B,17,9,7,1,Bulk,1500,366,64.21,0,15,20,0,2024-04-07,Maintenance,11.58,Pallet,4862686403,1
6276059,B,27,16,1,5,Overflow,1500,1616,70.85,0,10,25,0,2024-03-24,Occupied,10.53,Pallet,6553668357,1
6476968,D,13,16,3,8,Bulk,3000,1413,49.83,0,2,30,0,2024-02-17,Maintenance,9.91,Carton,3618313367,1
6562555,D,23,18,6,3,Returns,5000,1575,12.21,1,15,25,0,2024-02-16,Maintenance,6.55,Pallet,5912587733,1
6836182,B,18,2,6,5,Pick,1000,1737,35.41,1,18,30,1,2024-10-16,Occupied,3.3,Tote,5156695394,1
6020927,D,2,6,2,3,Bulk,500,1377,59.83,0,10,20,0,2024-05-22,Available,7.04,Tote,2861129189,1
6092447,C,5,14,3,5,Pick,1500,1959,47.23,1,10,25,0,2024-10-03,Available,10.09,Pallet,2342330912,1
6404473,F,25,6,6,9,Bulk,3000,598,76.8,1,2,8,1,2025-04-03,Available,6.99,Tote,5738444736,1
6434913,A,15,17,2,1,Quarantine,3000,890,41.69,0,15,8,0,2024-01-10,Available,7.36,Carton,9511528514,1
6406473,F,4,4,1,6,Pick,5000,1978,90.36,0,2,30,1,2024-02-21,Blocked,7.84,Tote,3715943746,1
6968736,E,25,12,1,7,Overflow,2000,418,21.86,0,10,30,0,2025-03-29,Available,2.74,Tote,9191355853,1
6737462,B,22,1,4,7,Bulk,2000,1722,63.56,0,10,8,1,2024-06-17,Occupied,2.75,Bulk,7283805723,1
6651903,D,24,3,5,5,Pick,1000,967,66.02,0,10,20,0,2024-02-13,Occupied,3.27,Carton,1734394609,1
6675929,D,15,3,5,8,Bulk,500,1606,89.7,0,15,8,0,2024-10-19,Blocked,6.68,Tote,1746513274,0
6912313,D,5,14,4,3,Returns,1500,1323,90.19,0,2,30,0,2024-06-01,Available,7.08,Bulk,8632135473,1
6507868,B,25,12,7,7,Bulk,1000,1067,28.48,0,10,30,1,2024-09-06,Occupied,6.38,Pallet,8772597622,1
6827013,E,19,12,6,1,Bulk,1000,1070,92.79,0,2,20,0,2024-07-31,Available,4.86,Pallet,9896080329,1
6316116,E,15,7,3,4,Pick,1000,543,82.21,0,15,30,1,2024-07-26,Occupied,9.72,Bulk,9841517838,1
6951090,A,14,16,6,3,Overflow,1500,219,92.19,0,15,20,0,2024-10-21,Available,2.91,Pallet,3509899955,1
6513993,B,21,7,4,6,Overflow,2000,612,87.85,1,10,25,0,2024-04-08,Available,7.25,Carton,1966784101,1
6399233,E,26,13,7,9,Bulk,1000,1545,68.64,0,15,20,1,2024-01-13,Occupied,10.06,Tote,9266191731,1
6431184,D,23,19,6,7,Overflow,1000,675,60.98,0,2,30,0,2024-01-29,Available,10.84,Pallet,4606820552,1
6405493,D,26,12,3,8,Staging,1500,1114,46.85,0,2,20,0,2025-04-03,Available,4.06,Carton,6933467132,1
6514563,B,12,18,6,5,Bulk,1500,1852,72.52,0,15,25,0,2024-12-07,Maintenance,6.2,Carton,8792629101,1
6180313,B,19,18,4,7,Quarantine,2000,258,72.52,0,2,30,0,2024-10-27,Occupied,2.9,Pallet,3707204876,1
6262036,C,4,8,6,1,Bulk,1500,379,59.83,0,2,30,0,2024-11-23,Available,7.24,Pallet,1830401253,1
6878870,C,20,12,6,1,Pick,1500,241,88.72,0,2,25,0,2024-08-31,Available,7.99,Pallet,1118068102,1
6110819,A,8,4,3,8,Overflow,500,1661,20.08,1,18,30,0,2025-04-08,Occupied,10.36,Pallet,7614744641,1
6906050,B,11,19,2,3,Staging,1500,526,89.19,0,10,25,0,2024-08-15,Occupied,8.59,Carton,5561971466,0
6912549,D,12,15,3,9,Pick,3000,1189,89.73,1,10,25,0,2025-01-20,Occupied,9.8,Carton,8450769108,1
6418530,D,5,1,7,8,Pick,1000,1069,75.15,0,18,20,0,2025-04-13,Blocked,8.97,Tote,8692659458,1
6860638,A,10,11,5,2,Bulk,1000,1133,95.51,0,18,25,0,2025-02-17,Available,7.15,Bulk,5401083524,1
6070453,A,25,14,4,4,Staging,1500,241,43.62,0,15,20,0,2024-11-02,Available,5.72,Pallet,4066572203,1
6822839,B,27,7,6,8,Bulk,500,878,45.35,1,10,8,1,2024-07-28,Occupied,3.07,Pallet,2979591213,1
6017637,A,20,8,5,2,Staging,1500,838,66.46,0,10,20,1,2024-11-25,Available,8.58,Bulk,1598295527,1
6268419,D,19,3,4,1,Bulk,1000,518,46.36,0,18,25,1,2024-12-16,Occupied,9.02,Bulk,5670036318,0
6186993,A,13,1,7,5,Bulk,1000,980,28.14,0,2,20,0,2024-05-25,Occupied,7.39,Pallet,9655928086,1
6680890,B,16,3,3,6,Quarantine,500,261,59.21,0,15,20,0,2024-11-28,Available,5.13,Tote,2485470896,1
6372355,A,18,7,6,2,Bulk,1500,1572,39.62,0,18,25,0,2025-03-27,Occupied,3.65,Tote,6758927795,1
6334605,A,22,14,3,4,Pick,3000,1539,49.53,0,2,30,0,2024-02-08,Reserved,7.63,Pallet,3065795870,1
6117948,B,8,2,4,4,Overflow,1500,1844,68.72,1,10,25,1,2024-04-22,Available,11.55,Pallet,2887228358,1
6547263,B,2,15,5,5,Pick,500,1923,50.8,0,2,8,0,2025-03-13,Available,10.06,Pallet,6043357132,1
6826929,D,11,3,4,4,Bulk,1500,1561,49.14,0,10,8,1,2025-05-11,Available,8.42,Carton,1357747320,1
6779683,D,28,10,7,2,Quarantine,3000,1254,95.4,0,2,8,0,2024-11-27,Reserved,9.17,Pallet,8223729588,1
6143657,E,23,11,3,2,Pick,1500,835,34.35,1,10,8,1,2024-08-25,Occupied,2.99,Pallet,4649037277,1
6373138,D,19,19,7,5,Pick,1000,214,54.93,0,18,8,1,2025-04-07,Available,9.25,Tote,5679978064,1
6870604,B,24,15,7,2,Pick,500,973,51.34,0,10,30,0,2024-07-12,Available,3.06,Carton,4901409191,1
6415571,A,8,19,7,2,Bulk,2000,1688,86.08,0,10,20,0,2025-04-04,Occupied,11.36,Pallet,1830259003,1
6841354,E,10,2,1,9,Bulk,500,736,85.79,1,18,25,0,2024-08-13,Occupied,5.74,Pallet,6460152865,1
6946152,C,24,15,5,6,Pick,1500,1417,26.01,0,18,20,0,2024-05-28,Available,2.59,Carton,3558950947,1
6325804,B,5,11,2,9,Quarantine,1500,1732,93.23,1,2,8,0,2024-05-06,Blocked,4.54,Pallet,2297348176,1
6316134,B,10,11,1,9,Overflow,3000,1354,83.58,0,2,30,0,2025-01-21,Available,6.24,Carton,6330788078,1
6352012,C,6,7,4,5,Bulk,1500,1432,28.29,0,18,20,0,2025-03-22,Available,10.0,Tote,9195946116,1
6410942,D,12,13,2,9,Bulk,2000,599,93.43,0,18,30,0,2024-04-10,Available,4.86,Tote,8316779479,1
6726439,B,4,3,4,1,Pick,1000,1481,57.55,0,15,25,0,2024-11-06,Occupied,8.07,Carton,8901861348,1
6945554,A,24,1,1,1,Bulk,500,470,40.48,0,15,8,0,2024-12-22,Available,11.78,Pallet,7832916268,1
6735999,C,13,5,6,4,Overflow,1000,984,60.69,0,18,8,0,2024-06-22,Maintenance,8.57,Pallet,1137202283,1
6621279,A,13,4,4,5,Bulk,1500,389,77.7,1,10,8,0,2025-01-16,Occupied,5.21,Pallet,3897056698,1
6074356,B,1,1,2,8,Bulk,1500,432,70.83,0,15,25,0,2024-10-15,Available,11.05,Tote,3264880790,1
6934749,E,14,14,2,8,Overflow,2000,1067,72.79,0,2,20,0,2024-11-12,Blocked,9.88,Pallet,4894340745,1
6517312,C,12,1,3,4,Pick,1000,1889,54.56,0,18,8,0,2024-11-17,Occupied,10.94,Tote,3107892656,1
6453306,D,17,11,4,3,Overflow,1500,855,35.17,1,15,8,1,2024-02-29,Available,4.67,Pallet,1199523855,1
6808160,D,24,16,6,2,Staging,1000,961,78.75,1,18,30,0,2024-08-12,Reserved,6.04,Tote,9872357514,1
6415262,C,22,8,2,5,Staging,1000,1793,88.86,1,15,25,0,2024-12-24,Available,2.79,Tote,8277513034,0
6552234,D,7,9,3,8,Pick,1500,1540,92.45,0,15,20,0,2024-09-26,Available,9.07,Bulk,7765387865,1
6672181,E,2,3,3,9,Bulk,3000,822,34.01,0,18,25,0,2024-05-16,Blocked,8.61,Pallet,9494193717,1
6459459,C,2,4,1,6,Staging,1000,832,69.51,0,15,8,0,2024-12-02,Occupied,10.43,Bulk,6645839496,1
7606087,D,18,1,1,6,Bulk,1500,1159,0.0,0,2,30,0,2025-01-29,Available,9.16,Pallet,6645363633,0
6661585,B,13,7,6,7,Bulk,1500,1333,66.27,0,2,8,0,2024-11-15,Occupied,5.63,Tote,1159608579,1
6531008,F,27,10,2,9,Bulk,2000,683,52.82,0,2,30,1,2024-01-10,Occupied,3.98,Pallet,8815473276,1
6611653,C,10,13,5,5,Staging,3000,341,78.94,0,15,25,0,2024-10-15,Blocked,10.61,Pallet,8784171781,1
6113709,A,6,19,2,7,Pick,1500,1332,35.62,0,2,25,0,2024-09-03,Occupied,5.21,Bulk,9882045513,1
6649094,A,16,6,2,5,Quarantine,2000,1718,41.8,0,18,25,0,2024-12-08,Occupied,7.81,Pallet,3330421770,1
6003420,E,7,7,7,4,Overflow,1500,1150,59.45,0,15,20,0,2024-03-12,Occupied,9.42,Pallet,3254328149,1
6309197,E,5,14,3,3,Quarantine,1000,148,46.29,0,18,25,0,2024-08-24,Occupied,9.85,Tote,4283264937,1
6189090,A,4,8,4,4,Pick,1500,211,86.29,1,18,25,1,2024-05-31,Available,4.59,Tote,4538415923,1
6852724,F,23,13,5,9,Overflow,1000,962,33.88,0,15,25,0,2024-05-15,Occupied,5.61,Tote,9056872880,1
6977413,A,7,12,4,1,Bulk,1000,266,37.41,0,10,30,0,2024-06-03,Maintenance,9.3,Carton,3751526831,1
6779036,A,29,2,3,8,Bulk,1000,1993,56.4,0,2,8,0,2025-01-18,Maintenance,9.44,Pallet,6207171284,1
6292291,C,4,1,7,7,Bulk,3000,164,20.08,0,15,8,0,2024-11-20,Available,9.57,Bulk,9063737816,1
7524648,D,26,5,6,3,Overflow,1000,1826,0.0,0,15,8,0,2025-05-07,Available,3.54,Pallet,9404381813,0
6832977,B,7,1,6,7,Staging,2000,847,60.31,1,18,20,0,2024-04-19,Reserved,6.35,Tote,5691504797,1
6771191,B,29,7,5,4,Bulk,2000,92,39.39,0,18,30,0,2024-08-17,Blocked,7.75,Pallet,5905547927,1
6702545,E,6,10,3,7,Pick,1500,1834,88.42,1,2,20,0,2025-05-02,Available,3.93,Pallet,9695941689,1
6817123,D,25,13,1,8,Bulk,1000,1104,19.09,0,2,20,0,2024-12-07,Blocked,4.51,Pallet,4885220027,1
6842275,C,16,18,6,9,Pick,1000,1055,52.63,0,18,25,1,2024-06-20,Available,6.33,Pallet,5522501735,1
6188257,B,13,13,5,1,Quarantine,1000,817,40.55,0,18,25,1,2024-07-30,Reserved,3.7,Pallet,6449379366,1
6273822,D,5,5,5,1,Bulk,1500,450,76.5,0,10,20,1,2024-03-17,Available,8.89,Tote,3819371622,1
6430154,B,4,7,5,7,Overflow,1000,1565,29.44,1,18,20,0,2025-03-30,Available,4.01,Carton,1821023646,1
6957331,B,14,18,7,8,Bulk,1000,1568,32.6,1,15,8,0,2025-04-16,Blocked,6.63,Tote,3921611513,1
6084780,A,1,2,1,9,Bulk,2000,1925,80.16,1,10,30,0,2024-04-30,Occupied,3.74,Pallet,7394567160,1
6833686,C,12,9,7,7,Bulk,1000,1298,83.44,0,10,8,0,2024-03-16,Occupied,6.51,Pallet,4062150251,1
6731892,A,15,19,3,1,Bulk,1000,896,56.41,0,10,30,0,2024-02-11,Occupied,6.05,Tote,5456029063,1
6004317,D,12,10,4,1,Staging,1000,891,60.33,1,15,25,1,2024-05-27,Available,5.14,Bulk,9237155931,1
6868211,D,15,8,6,4,Pick,500,1599,80.83,0,2,8,0,2025-04-10,Occupied,11.96,Carton,1917667085,1
6825020,E,14,1,3,7,Pick,1000,127,42.56,0,15,20,0,2024-01-06,Available,8.05,Carton,7929629711,1
6013579,B,16,13,2,9,Bulk,1000,285,42.47,0,18,8,0,2024-03-10,Available,3.47,Pallet,7878427532,1
6845129,D,25,18,2,9,Returns,500,1822,96.75,0,18,8,1,2024-07-31,Occupied,7.95,Pallet,7190544920,1
6594043,A,2,12,2,3,Bulk,2000,1785,73.92,0,2,30,1,2024-04-29,Maintenance,10.62,Pallet,8264556110,1
6134337,B,7,11,7,4,Quarantine,1500,1694,67.1,0,10,25,1,2025-04-20,Occupied,7.33,Pallet,1412255242,1
6033714,D,21,3,1,5,Bulk,1500,601,49.24,0,15,20,0,2024-12-08,Occupied,3.68,Pallet,7695908372,1
6624276,A,22,3,5,8,Pick,500,431,81.06,0,10,20,1,2024-02-08,Occupied,11.44,Carton,8099593581,1
6962646,D,9,6,3,3,Bulk,5000,562,82.17,1,18,30,0,2025-01-27,Available,4.53,Pallet,9877810164,1
6511743,B,4,15,4,2,Bulk,5000,449,84.01,0,15,30,0,2024-05-05,Available,6.29,Tote,5553188952,1
6695731,A,10,15,1,5,Staging,1000,1744,44.23,0,15,20,1,2025-03-10,Available,7.4,Carton,6835493161,1
6709756,A,10,1,3,8,Staging,1000,127,54.52,1,15,8,1,2024-04-19,Blocked,3.2,Carton,2111197649,1
6164885,B,8,11,6,6,Overflow,500,1239,50.1,1,2,20,1,2024-03-03,Occupied,11.43,Pallet,2733822090,0
6074406,C,6,4,1,9,Pick,500,667,64.25,0,15,30,1,2024-11-26,Available,2.54,Pallet,2103852628,1
6323964,B,2,9,5,4,Pick,500,1259,55.64,0,2,20,0,2025-02-04,Available,10.69,Pallet,2037630860,1
6118305,E,23,15,6,8,Quarantine,3000,1701,63.53,1,2,25,1,2024-06-15,Available,6.95,Carton,3350406498,1
