batch_id,product_id,production_date,expiry_date,batch_size_units,batch_size_kg,production_line,shift,raw_material_lot,supplier_id,mixing_time_min,pasteurization_temp_c,drying_temp_c,moisture_content_pct,protein_content_pct,fat_content_pct,carb_content_pct,batch_status,release_date,yield_efficiency_pct
4599202,1983695,2021-08-24,2022-11-01,45511,8579.0,Line-1,Night,48324157,2115802,119,79.1,175.0,0.528,2.05,4.14,62.02,Released,2021-08-29,89.69
4315538,1648839,2024-12-06,2026-03-06,4757,735.9,Line-2,Morning,90255717,2859016,78,81.6,194.1,0.811,1.56,3.68,67.83,Released,2024-12-19,83.94
4074294,1683049,2021-08-01,2023-01-16,21170,7619.3,Line-4,Afternoon,97852099,2988742,73,80.5,162.4,1.811,1.61,3.74,52.15,Recalled,2021-08-09,89.14
4031768,1313564,2022-12-03,2024-10-28,24652,1445.8,Line-1,Afternoon,76390703,2554699,72,84.6,181.3,0.7,2.05,3.64,57.73,Released,2022-12-07,90.74
4724823,1893962,2023-02-02,2024-11-04,16773,5685.5,Line-3,Morning,27883431,2816860,114,76.3,194.2,0.843,3.56,5.24,53.37,Released,2023-02-11,70.12
4796405,1615435,2024-12-19,2026-05-13,22270,1180.5,Line-3,Morning,46799826,2679864,101,72.5,160.5,0.204,3.69,5.75,57.82,Released,2024-12-23,88.17
4351767,1162656,2023-04-20,2024-11-01,1883,3672.9,Line-3,Afternoon,52083867,2206688,68,76.7,189.8,1.321,2.93,4.96,58.32,Released,2023-04-27,65.21
4013239,1425545,2022-11-04,2023-11-12,4027,3929.4,Line-2,Night,30759167,2828249,43,80.0,182.5,0.244,2.72,2.83,63.52,Released,2022-11-10,79.31
4434422,1905363,2023-12-09,2025-01-05,32550,8600.3,Line-1,Afternoon,59654165,2133968,31,84.2,200.3,0.335,2.88,3.85,60.58,Released,2023-12-13,81.6
4293387,1304835,2024-08-12,2025-10-02,22817,7777.8,Line-3,Morning,12564113,2711238,73,76.2,187.3,0.757,2.63,3.24,52.3,Released,2024-08-23,91.34
4490115,1511473,2022-02-10,2023-11-17,28326,3928.8,Line-2,Night,68158085,2939248,96,76.1,197.1,1.456,1.74,5.23,57.96,Quarantine,2022-02-21,67.26
4067749,1705441,2024-12-17,2026-03-19,49477,149.5,Line-2,Afternoon,18932643,2029102,112,84.7,182.9,0.739,2.81,4.26,54.74,Quarantine,2024-12-30,77.32
4172067,1257880,2022-12-05,2024-07-09,1535,1033.8,Line-1,Afternoon,17741222,2141984,80,72.0,209.7,0.687,3.27,3.9,63.41,Released,2022-12-18,72.4
