inspection_id,batch_id,inspector_id,inspection_datetime,inspection_type,sample_size,pass_count,fail_count,pass_rate_pct,moisture_result_pct,protein_result_pct,fat_result_pct,carb_result_pct,contamination_detected,contamination_type,visual_score,packaging_integrity_score,overall_result,action_taken,inspector_comments
56818184,4581014,3707985,2023-07-12,In-Process,439,307,132,69.93,1.191,2.51,4.48,59.26,0,None,7.2,7.35,Pass,Rework,
59028400,4607129,3604345,2022-10-04,In-Process,486,295,191,60.7,0.596,2.85,3.36,66.82,0,None,9.41,9.62,Fail,Released,Within spec
58286018,4694192,3767356,2021-05-16,Chemical,480,439,41,91.46,0.324,2.92,4.77,61.94,0,None,9.19,7.88,Pass,Released,
52856744,4349557,8921662,2021-05-14,In-Process,388,379,9,97.68,2.509,1.99,5.96,59.61,0,None,4.71,7.83,Pass,Released,Within spec
57372407,4443753,3968693,2024-10-29,Chemical,311,284,27,91.32,0.578,1.58,5.78,57.1,0,None,6.54,8.69,Pass,Released,Within spec
54919154,4842355,8650074,2021-09-14,Final,399,352,47,88.22,0.485,4.09,4.8,64.14,0,Pesticide,9.53,8.17,Pass,Released,Requires follow-up
57141263,4242357,3803479,2025-04-10,Microbiological,258,195,63,75.58,0.947,3.62,3.57,60.81,0,None,9.46,8.39,Pass,Released,
53975240,4677605,3870476,2023-12-14,Sensory,423,359,64,84.87,1.818,1.87,5.31,59.99,0,None,8.99,8.17,Pass,Released,Within spec
59967645,4851257,3873663,2021-11-21,Chemical,101,87,14,86.14,0.973,3.81,3.24,67.23,0,None,5.41,8.5,Pass,Released,Requires follow-up
52047651,4322264,3714805,2022-01-02,In-Process,276,259,17,93.84,0.901,3.31,4.56,62.53,0,None,9.85,7.44,Pass,Rework,
56329540,4673853,3526339,2022-12-29,Final,388,209,179,53.87,0.927,3.47,4.5,71.15,0,None,7.29,8.26,Pass,Released,
57531452,4440497,3825673,2023-03-16,In-Process,304,275,29,90.46,1.212,3.15,3.77,63.25,0,None,6.19,7.66,Pending,Re-test,
51060035,4842537,3587651,2022-10-05,In-Process,315,242,73,76.83,4.111,2.18,5.67,53.18,0,None,8.83,6.52,Pass,Released,
57426939,4107630,3553395,2023-01-17,Chemical,360,279,81,77.5,0.418,4.07,4.52,52.08,0,None,7.72,8.3,Pass,Released,Within spec
58234680,4078139,3613810,2024-05-11,Final,325,299,26,92.0,0.629,3.06,3.28,60.48,0,None,8.18,9.44,Pending,Released,Within spec
55550403,4966953,3620804,2021-09-03,Incoming,51,43,8,84.31,0.701,2.88,5.14,65.24,0,None,9.18,8.35,Fail,Destroy,Within spec
55880298,4923366,3689115,2023-11-04,Incoming,59,37,22,62.71,0.736,3.64,3.94,68.04,0,None,7.18,9.86,Pass,Released,
58876107,4716028,3613919,2024-05-06,Chemical,320,241,79,75.31,0.868,3.79,5.26,63.39,0,None,6.51,8.01,Pass,Released,
53766027,4252584,8563918,2023-10-10,Incoming,274,236,38,86.13,1.336,3.01,3.67,54.71,0,None,8.66,9.5,Pass,Released,Within spec
56389676,4037334,3582144,2022-12-14,In-Process,342,190,152,55.56,0.769,4.09,5.64,51.05,0,None,4.26,9.83,Pass,Destroy,
55001219,4567479,3769255,2024-04-27,In-Process,383,356,27,92.95,0.84,3.97,4.6,61.61,0,None,4.47,8.28,Pass,Released,Within spec
54713624,4023019,3798145,2023-12-15,Final,70,32,38,45.71,1.731,3.95,2.94,50.83,0,None,9.69,8.08,Pass,Released,
54800483,4288507,3535022,2023-10-31,In-Process,35,29,6,82.86,1.318,3.18,5.67,67.79,0,None,4.52,9.48,Pass,Released,Within spec
58776565,4627765,3570398,2021-01-03,In-Process,122,111,11,90.98,1.484,2.38,5.99,63.43,0,None,7.32,7.47,Pass,Released,
55439221,4233258,3923773,2022-07-16,Sensory,414,335,79,80.92,0.743,2.75,5.49,58.61,0,None,8.16,9.13,Conditional Pass,Released,Within spec
53731255,4131629,3515757,2022-10-14,In-Process,371,304,67,81.94,1.145,3.35,5.14,67.87,0,None,6.87,7.41,Fail,Rework,Borderline
59648535,4710431,3518337,2021-10-09,Incoming,18,14,4,77.78,0.355,3.91,5.93,65.67,0,None,6.11,6.42,Pass,Released,
53556420,4921101,3724436,2021-08-19,In-Process,240,189,51,78.75,0.349,3.34,3.71,51.26,0,None,7.83,6.62,Pass,Rework,Borderline
58224029,4275153,3868451,2024-02-03,Incoming,463,411,52,88.77,0.864,1.66,3.28,51.91,1,None,8.65,6.59,Fail,Released,
56088250,4386493,3574057,2021-07-23,Final,117,99,18,84.62,0.832,2.24,3.41,63.27,0,None,7.55,8.8,Pass,Rework,Within spec
53736382,4105367,3588919,2024-06-20,Incoming,402,384,18,95.52,1.906,2.08,5.91,58.8,0,None,8.26,8.96,Pass,Released,Within spec
55717022,4242357,3587555,2022-06-13,In-Process,488,445,43,91.19,0.875,1.98,2.56,58.22,0,None,8.29,8.15,Pass,Released,Borderline
57473067,4776102,3519075,2021-07-19,Incoming,352,250,102,71.02,0.954,1.47,5.0,66.37,0,None,5.41,7.02,Conditional Pass,Released,
54241733,4983598,3515186,2023-11-28,Microbiological,100,76,24,76.0,2.08,1.59,3.14,59.18,0,None,4.34,9.31,Conditional Pass,Released,
57061320,4418991,3595593,2021-07-09,Incoming,413,335,78,81.11,0.153,2.89,4.07,52.47,0,None,3.91,7.66,Pass,Released,Within spec
57877517,4527467,3948271,2021-08-26,Incoming,144,137,7,95.14,3.674,3.56,5.28,60.29,0,None,8.75,9.02,Pass,Released,Escalated to QA
54303010,4978024,3796897,2022-03-19,Final,469,270,199,57.57,0.384,3.26,4.88,51.39,0,None,7.74,9.31,Pass,Released,Within spec
52694523,4079633,3905731,2024-07-27,Incoming,413,391,22,94.67,0.836,2.12,4.81,66.23,0,None,8.65,9.67,Conditional Pass,Destroy,
