shipment_id,route_id,order_id,shipment_date,scheduled_delivery_date,actual_delivery_date,product_id,quantity_units,weight_kg,volume_m3,temperature_min_c,temperature_max_c,tracking_number,customs_cleared,customs_clearance_date,total_cost_usd,insurance_value_usd,delivery_status,delay_reason,customer_satisfaction_score
49716638,7719518,2463419,2024-01-25,2024-01-26,2024-01-27,1630904,180,1152.4,0.125,18,25,691995123624,0,,345.13,479.17,Delivered,None,1.6
49932485,7644934,9810643,2024-03-18,2024-03-19,2024-03-19,1701552,29,66.26,1.451,10,20,521793595557,0,,235.25,1242.44,Delivered,None,4.3
40644974,7274828,2069898,2025-01-01,2025-01-05,2025-01-05,1151773,280,639.52,1.541,18,25,359282345279,1,2024-06-20,1556.13,1584.51,Delayed,None,4.5
49720155,7637868,2455197,2024-12-22,2024-12-25,2024-12-26,1170340,139,187.14,0.17,18,20,166486595629,0,,1345.05,4744.21,Delivered,None,4.4
41417569,7543035,2626563,2023-12-24,2023-12-25,2023-12-25,1336409,321,95.75,1.16,15,30,155241664338,0,,63.14,429.2,Delivered,None,3.4
42971795,7093222,2212890,2025-02-08,2025-02-10,2025-02-12,1430979,100,337.32,0.351,2,8,627383276007,0,,69.54,776.09,Delivered,Customs,3.1
41226802,7280878,2794964,2024-01-23,2024-02-02,2024-02-04,1117588,134,389.66,2.23,15,30,566621536277,0,,1113.4,1197.79,Delivered,None,4.3
40493390,7429060,2357286,2025-01-02,2025-01-15,2025-01-16,1527958,291,68.5,1.765,18,30,352806332424,1,2025-01-19,108.96,3644.24,Delivered,None,4.3
42044073,7475974,2925896,2024-04-29,2024-05-09,2024-05-11,1944031,251,1061.25,1.218,2,8,824750455910,1,2023-03-24,767.6,816.68,In-Transit,Weather,3.6
48744769,7946718,2836111,2022-06-20,2022-06-21,2022-06-21,1298821,134,134.36,0.085,15,8,680436768744,0,,788.15,5058.93,Failed,None,3.1
40230422,7162135,2839780,2023-05-16,2023-05-23,2023-05-23,1579341,167,107.34,2.672,18,20,938638823570,0,,85.26,139.51,Delivered,Customs,4.6
45182200,7067020,2259990,2022-06-06,2022-06-18,2022-06-18,1597757,154,5.3,2.409,15,8,602251394325,0,,117.15,413.4,Delivered,None,4.3
40294647,7947149,2883338,2025-03-08,2025-03-16,2025-03-18,1086650,261,255.63,0.511,2,20,630362976781,1,2024-11-07,254.18,2689.2,Delivered,None,4.3
48653548,7821376,2246789,2025-02-21,2025-03-05,2025-03-05,1723948,325,191.18,0.595,10,20,127639669036,0,,413.14,955.51,Delivered,None,3.7
45343943,7363369,2976808,2023-12-23,2024-01-01,2024-01-02,1815885,159,192.5,1.747,10,8,348810100320,0,,2147.01,782.59,Delivered,None,2.9
42455719,7283799,2992020,2022-06-26,2022-07-04,2022-07-06,1169450,230,779.5,0.448,18,30,493735165133,0,,1374.46,2335.85,Delivered,None,4.3
47870896,7638865,2924585,2024-11-25,2024-12-01,2024-12-01,1261721,189,449.62,1.05,10,25,345731553390,0,,775.53,291.97,Delayed,None,3.5
46676279,7131474,2797456,2023-04-28,2023-05-06,2023-05-08,1480261,229,171.53,0.078,15,30,159567215155,0,,504.93,308.07,Delivered,None,3.8
48182611,7587482,2142635,2024-01-14,2024-01-26,2024-01-30,1677493,123,196.13,0.704,18,8,566881547413,0,,315.57,1120.58,Delivered,Traffic,2.6
46995341,7351495,2923983,2023-02-25,2023-03-09,2023-03-10,1002986,100,233.8,0.841,18,30,179819467616,0,,407.71,1361.85,Delivered,Weather,3.1
49191718,7688112,2941789,2023-03-31,2023-04-03,2023-04-04,1530941,224,55.5,2.715,18,20,859713860685,0,,95.33,2415.87,Delivered,Address Error,
40303378,7319496,2685008,2023-11-19,2023-12-02,2023-12-03,1087501,237,130.09,1.408,10,25,677617205304,0,,20.0,3328.18,Delivered,Weather,3.2
47812213,7330576,2951633,2025-03-30,2025-04-10,2025-04-10,1941070,158,28.92,0.299,10,30,792118786294,1,2024-01-04,519.66,4977.92,Delivered,None,3.1
43247444,7782390,2982310,2025-01-20,2025-01-22,2025-01-23,1137183,238,85.21,8.137,10,25,532346096790,0,,96.34,2730.88,Delivered,Traffic,
47845377,7718255,2237395,2025-01-25,2025-01-28,2025-01-30,1800523,135,380.17,0.378,2,25,987743491688,1,2023-12-03,960.87,6153.86,Delivered,Customs,3.9
40751226,7597466,2833153,2023-03-29,2023-04-07,2023-04-07,1739756,198,173.46,0.077,15,30,513006870364,1,2022-11-10,108.74,1180.33,Delivered,None,2.8
46902109,7571060,2623814,2025-01-10,2025-01-13,2025-01-13,1070927,510,768.86,0.962,2,20,719957512365,0,,1334.64,4125.46,In-Transit,None,
45567084,7881897,9962226,2024-07-22,2024-08-04,2024-08-05,1941165,285,523.06,0.337,15,20,607679366016,0,,3004.79,6293.51,Delayed,None,
48312318,7015961,2199028,2023-09-15,2023-09-27,2023-09-27,1663868,513,268.77,0.202,10,25,472176534036,0,,540.94,285.66,Delivered,None,4.8
45163208,7348155,2883813,2023-03-09,2023-03-13,2023-03-18,1194267,248,505.25,0.577,10,20,796237929693,0,,56.03,3076.46,In-Transit,None,4.0
46472485,7985070,2059593,2023-12-03,2023-12-13,2023-12-14,1666349,331,57.08,1.438,15,30,973239492565,0,,1067.67,1720.18,Failed,None,3.3
47053815,7777918,2390357,2023-02-04,2023-02-08,2023-02-09,1027067,584,4.96,0.322,15,30,356064556906,1,2024-07-05,49.06,1623.37,Delayed,None,4.6
47134680,7760462,2157574,2023-03-18,2023-03-24,2023-03-28,1183698,231,65.09,2.238,2,25,610678538572,0,,101.7,5091.81,Delivered,None,
44232477,7019900,2331907,2025-04-16,2025-04-20,2025-04-22,1677470,137,176.13,2.254,18,25,375336391971,0,,541.71,1160.36,Delivered,None,3.4
44131882,7535247,2187259,2025-04-29,2025-05-07,2025-05-08,1305212,345,392.19,1.378,15,25,734660858125,1,2024-02-08,120.94,489.23,In-Transit,Customs,4.6
45580404,7245954,2736338,2023-11-26,2023-11-28,2023-11-29,1719803,335,181.09,0.861,10,30,370405813912,0,,2323.84,3044.25,In-Transit,None,4.0
44877879,7511515,2860262,2023-05-01,2023-05-05,2023-05-06,1253302,196,518.57,0.863,2,20,819959456113,0,,707.32,690.68,Delivered,None,
48309054,7295812,2921342,2023-03-11,2023-03-12,2023-03-14,1174839,392,1089.46,0.391,18,8,258882347374,0,,607.97,3336.27,Delivered,None,
41785573,7779161,2178487,2023-10-30,2023-11-03,2023-11-03,1769524,230,77.61,4.303,18,25,119601625105,0,,507.86,2962.97,Delivered,None,3.2
47951988,7833643,2664775,2025-04-10,2025-04-22,2025-04-25,1967159,152,288.88,1.725,2,30,166171458436,0,,443.25,258.76,In-Transit,None,4.2
49947608,7754550,2551522,2024-02-07,2024-02-19,2024-02-21,1488097,220,454.99,5.517,15,8,786060073160,0,,399.9,242.05,In-Transit,None,4.4
41473002,7347871,2658513,2023-12-14,2023-12-16,2023-12-17,1598581,305,567.54,1.584,18,25,241846324071,0,,20.0,6048.09,Delivered,Weather,4.3
47795337,7327607,2768913,2024-05-30,2024-06-10,2024-06-11,1460446,237,354.09,3.532,10,8,313769495966,0,,808.0,1508.46,Failed,Customs,4.2
43930227,7603651,2754790,2023-09-03,2023-09-04,2023-09-05,1266377,276,521.2,0.67,15,25,381643582054,0,,217.49,1985.3,Delivered,Traffic,4.7
45591044,7760783,2505123,2023-03-13,2023-03-22,2023-03-24,1267920,203,840.16,1.356,18,30,146629531760,0,,309.98,2167.03,Delivered,None,4.5
42406392,7877030,2195793,2023-01-14,2023-01-15,2023-01-20,1173087,338,562.83,0.687,10,25,916034763898,0,,20.0,1225.84,Delivered,None,
44916276,7446032,2632353,2024-06-24,2024-06-30,2024-07-02,1462556,174,207.55,0.497,18,20,267984886773,0,,669.19,2108.05,Delayed,None,
40536373,7297620,2048949,2025-04-12,2025-04-17,2025-04-18,1010746,233,422.33,1.945,10,20,207656617053,1,2023-11-20,664.08,448.64,In-Transit,None,4.3
48798414,7328904,2633970,2024-11-04,2024-11-08,2024-11-09,1916854,167,391.22,0.306,10,30,261260149220,0,,1454.67,403.52,Delivered,None,3.9
47151976,7121879,2381806,2025-01-28,2025-02-07,2025-02-09,1983695,217,40.82,1.486,2,20,238096015755,0,,20.0,966.75,Delivered,None,1.9
41541323,7209136,2623498,2024-02-02,2024-02-07,2024-02-07,1615848,202,77.57,2.153,15,25,160053518325,1,2024-05-15,966.9,1059.25,Delivered,None,4.3
48084741,7435299,2665229,2025-03-09,2025-03-20,2025-03-21,1587449,243,691.71,0.186,18,8,939831711476,0,,398.48,4895.36,Delivered,None,4.7
43219278,7102428,2571896,2024-09-18,2024-10-01,2024-10-02,1354534,248,17.68,0.544,10,20,810771760400,0,,21.49,6842.92,Delivered,Weather,3.5
49450712,7464928,2174383,2024-11-10,2024-11-14,2024-11-14,1661170,334,54.41,2.669,15,30,413012914300,0,,353.82,948.21,Delivered,None,4.0
49321237,7620212,2883538,2024-06-27,2024-07-04,2024-07-06,1191213,248,123.88,1.447,18,8,952987865874,0,,337.5,2152.86,Delivered,None,4.5
46556879,7393452,2316045,2024-01-27,2024-01-28,2024-01-29,1832693,341,143.05,0.119,15,20,124376355805,0,,96.76,1565.77,Delivered,None,4.2
49941028,7048411,2108337,2024-07-16,2024-07-20,2024-07-22,1473685,247,302.08,1.906,18,8,101610333593,0,,498.83,715.99,Delivered,Capacity,3.3
49302291,7386016,2914331,2022-10-14,2022-10-20,2022-10-24,1400167,144,160.11,0.891,18,25,378347101909,1,2023-06-08,139.45,3372.66,Delivered,Customs,2.8
44060357,7482673,2210674,2023-08-17,2023-08-21,2023-08-21,1927686,117,99.57,2.001,18,30,497651540209,1,2022-09-25,189.17,1388.28,In-Transit,None,4.3
46307728,7263618,2366167,2024-09-07,2024-09-10,2024-09-13,1575840,279,943.66,1.012,15,25,351496801592,0,,1827.26,484.07,Delivered,Traffic,
42048614,7700084,2841360,2024-07-04,2024-07-09,2024-07-10,1111548,136,88.61,0.464,18,20,204398288920,0,,335.47,415.79,Delivered,Capacity,4.3
49749657,7525689,2450642,2023-03-28,2023-03-29,2023-03-29,1098810,214,55.57,0.899,2,30,988350035595,0,,187.73,1847.26,Delivered,Traffic,3.2
47636432,7397438,2226856,2022-06-27,2022-06-30,2022-07-01,1282376,290,18.52,0.474,15,20,829874028405,0,,142.7,725.65,In-Transit,None,
40230507,7022600,2354448,2024-12-05,2024-12-16,2024-12-18,1884722,81,36.75,0.654,15,8,442580752322,0,,795.3,2169.11,Delivered,None,
44859519,7937055,2323762,2022-08-20,2022-08-28,2022-09-01,1108368,187,81.24,3.533,10,20,547729765505,0,,20.0,407.84,Delivered,Weather,4.6
49644951,7934741,2458174,2023-10-08,2023-10-21,2023-10-22,1476276,200,422.98,1.376,15,8,984034333258,0,,351.24,599.29,Delivered,Traffic,3.5
41899110,7844974,2344321,2023-08-08,2023-08-10,2023-08-13,1939868,158,223.79,0.724,2,8,847262056580,0,,894.22,2311.0,Delivered,None,4.0
45313578,7664605,2705487,2025-04-12,2025-04-15,2025-04-16,1786249,157,1048.27,0.673,15,30,593422409403,0,,431.93,4067.04,Delivered,None,2.8
47755789,7058663,2832344,2024-05-23,2024-06-04,2024-06-06,1829524,146,135.24,0.434,15,8,389968190830,0,,193.96,240.51,Delivered,None,
44313854,7835317,2532893,2023-01-18,2023-01-31,2023-01-31,1350045,220,130.61,0.364,15,8,883342918946,0,,405.82,3430.15,In-Transit,None,1.7
48832189,7676151,9899143,2023-04-15,2023-04-27,2023-04-28,1780870,116,251.08,7.378,10,8,488619454911,0,,223.73,1907.11,Delivered,None,3.8
41668617,7333538,2632292,2024-05-08,2024-05-14,2024-05-15,1396396,272,623.73,1.347,18,8,476436080003,1,2023-03-20,389.07,2684.19,Delivered,None,2.8
40335268,7219336,2478906,2023-07-15,2023-07-20,2023-07-20,1629372,271,28.64,1.889,2,30,964174282673,1,2023-05-22,92.97,2158.68,Delivered,None,3.4
40510677,7348315,2616507,2024-12-12,2024-12-19,2024-12-20,1974220,211,255.29,2.513,18,20,906700052988,0,,527.87,591.21,Delivered,None,3.7
49134081,7974920,2490787,2023-03-09,2023-03-18,2023-03-19,1596114,183,849.28,1.323,18,30,819680739704,1,2024-01-24,1199.95,774.47,Delivered,Customs,
46530532,7730851,2514080,2022-09-01,2022-09-12,2022-09-12,1160139,257,256.23,1.379,18,30,129137079631,1,2023-04-03,211.3,1997.36,Delayed,None,3.7
44371589,7458409,2636421,2022-10-28,2022-10-30,2022-10-31,1051369,120,854.55,1.369,2,30,881330897969,1,2024-03-22,457.43,670.03,Delivered,None,4.2
47614638,7725136,2295213,2024-08-29,2024-09-03,2024-09-07,1592699,328,39.46,1.346,15,8,364191239472,0,,450.33,2490.49,Delivered,None,3.7
40472420,7830295,2171245,2022-06-21,2022-06-23,2022-06-28,1526322,366,421.52,1.367,18,30,305729988612,0,,371.9,3140.42,Delivered,None,2.6
44574648,7155996,2730480,2023-12-07,2023-12-16,2023-12-16,1553103,153,216.2,1.956,15,30,736404020552,1,2024-01-31,486.47,183.36,Delivered,None,4.2
48756096,7961547,2267204,2023-04-19,2023-04-22,2023-04-25,1987303,155,726.46,0.847,15,20,617405180280,1,2022-08-10,1636.96,4553.99,Delivered,None,4.7
40230070,7713693,2886518,2023-10-19,2023-10-25,2023-10-25,1391809,328,252.76,1.633,2,20,850148547569,0,,1690.08,50.0,Delivered,Customs,2.7
44671152,7469427,2661695,2023-08-12,2023-08-20,2023-08-21,1802163,535,636.77,1.429,2,20,197606666144,1,2022-11-27,720.42,587.8,Delivered,None,4.4
48249562,7881021,2969461,2024-01-13,2024-01-25,2024-01-25,1314074,141,105.62,3.178,18,25,631358156986,1,2023-06-13,42.61,4761.19,Delivered,Traffic,4.5
41124230,7735400,2625939,2023-12-24,2024-01-01,2024-01-03,1869559,190,383.49,3.119,18,30,882617235551,0,,202.7,842.46,Delivered,Weather,2.9
44089986,7859293,2108139,2023-04-01,2023-04-06,2023-04-06,1982951,275,778.59,0.407,18,8,397269285721,1,2023-07-10,1691.09,2639.03,Delivered,None,3.4
42080095,7031455,2006562,2023-01-28,2023-02-02,2023-02-02,1220925,465,32.83,2.849,15,30,896159617216,0,,442.35,456.13,In-Transit,None,4.0
47756803,7891633,2732833,2023-09-25,2023-09-26,2023-09-26,1241026,487,113.45,0.549,2,20,492549812646,0,,279.47,1562.3,In-Transit,None,
45155302,7115919,2382441,2023-05-20,2023-06-01,2023-06-03,1686190,177,93.96,0.872,18,30,316739422461,0,,365.43,114.67,Delivered,None,
49589518,7357062,2682954,2023-09-17,2023-09-21,2023-09-21,1888908,348,154.15,2.067,18,30,613900043008,0,,963.65,595.43,Delivered,None,3.7
43747754,7976667,2828000,2024-03-29,2024-04-02,2024-04-03,1325425,176,1143.0,1.115,10,30,456325013918,0,,43.39,4161.36,Delivered,None,4.9
45860540,7226423,2594304,2022-07-31,2022-08-11,2022-08-12,1699354,285,641.41,0.113,2,20,497124134958,1,2022-12-08,149.18,189.16,Delivered,None,4.6
44152741,7065375,2204825,2025-02-08,2025-02-19,2025-02-21,1567463,256,239.39,1.661,2,20,110253126507,0,,570.43,5166.03,Delivered,None,3.4
45896717,7182687,2802125,2024-03-04,2024-03-16,2024-03-19,1190991,145,528.67,0.05,18,20,293752510153,1,2023-05-26,294.41,4854.22,Delivered,None,4.4
42713771,7640371,2274542,2023-04-08,2023-04-09,2023-04-11,1714628,177,90.64,1.194,18,30,350136711580,0,,96.25,276.42,Delivered,None,4.5
42949972,7657589,2702901,2024-01-04,2024-01-06,2024-01-07,1762990,231,321.09,2.7,10,25,922363151125,0,,945.18,99.64,In-Transit,None,3.5
49106942,7460619,9869916,2024-04-03,2024-04-09,2024-04-09,1395774,106,839.54,3.091,10,20,239018237870,0,,1100.93,5243.5,Delivered,None,3.6
