shipment_id,route_id,order_id,shipment_date,scheduled_delivery_date,actual_delivery_date,product_id,quantity_units,weight_kg,volume_m3,temperature_min_c,temperature_max_c,tracking_number,customs_cleared,customs_clearance_date,total_cost_usd,insurance_value_usd,delivery_status,delay_reason,customer_satisfaction_score,route_name,origin_warehouse,destination_city,destination_country,distance_km,estimated_duration_hours,transport_mode,carrier_name,carrier_code,contract_type,base_cost_usd,cost_per_kg_usd,route_status,frequency_per_week,customs_required,cold_chain_required,max_payload_kg,avg_delay_hours,is_active,actual_duration_days,scheduled_duration_days,delay_days,is_delayed,shipment_month,shipment_day_of_week,real_cost_per_kg_usd,cold_chain_excursion_detected
49716638,7719518,2463419,2024-01-25,2024-01-26,2024-01-27,1630904,180,1152.4,0.125,18,25,691995123624,0,,345.13,479.17,Delivered,None,1.6,RT-2912,Jakarta-WH1,Medan,Philippines,115.6,7.8,Air,SiCepat,CR6168,Contracted,433.36,2.012,Active,2,0,0,10000,1.65,1,2.0,1.0,1.0,1,1,3,0.29948802499132243,0
49932485,7644934,9810643,2024-03-18,2024-03-19,2024-03-19,1701552,29,66.26,1.451,10,20,521793595557,0,,235.25,1242.44,Delivered,None,4.3,RT-7595,Jakarta-WH1,Semarang,Indonesia,59.4,28.2,Air,J&T,CR6884,Spot,108.64,1.915,Active,3,0,1,500,0.18,0,1.0,1.0,0.0,0,3,0,3.550407485662541,1
40644974,7274828,2069898,2025-01-01,2025-01-05,2025-01-05,1151773,280,639.52,1.541,18,25,359282345279,1,2024-06-20,1556.13,1584.51,Delayed,None,4.5,RT-9885,Jakarta-WH2,Jakarta,Indonesia,306.5,7.8,Air,FedEx,CR2292,Contracted,195.86,2.422,Active,5,0,1,10000,4.26,1,4.0,4.0,0.0,0,1,2,2.4332780835626724,1
49720155,7637868,2455197,2024-12-22,2024-12-25,2024-12-26,1170340,139,187.14,0.17,18,20,166486595629,0,,1345.05,4744.21,Delivered,None,4.4,RT-5086,Bandung-WH,Medan,Indonesia,182.9,66.8,Truck,SiCepat,CR2294,Contracted,262.08,3.219,Active,2,0,1,2000,3.31,1,4.0,3.0,1.0,1,12,6,7.187399807630651,1
41417569,7543035,2626563,2023-12-24,2023-12-25,2023-12-25,1336409,321,95.75,1.16,15,30,155241664338,0,,63.14,429.2,Delivered,None,3.4,RT-7835,Surabaya-WH,Semarang,Malaysia,20.5,4.5,Sea,J&T,CR1070,Contracted,147.26,1.783,Active,5,0,0,5000,1.3,0,1.0,1.0,0.0,0,12,6,0.6594255874673629,0
42971795,7093222,2212890,2025-02-08,2025-02-10,2025-02-12,1430979,100,337.32,0.351,2,8,627383276007,0,,69.54,776.09,Delivered,Customs,3.1,RT-8701,Jakarta-WH1,Jakarta,Singapore,194.9,9.3,Air,DHL,CR6860,Contracted,41.15,2.861,Active,3,0,0,500,6.12,1,4.0,2.0,2.0,1,2,5,0.20615439345428677,0
41226802,7280878,2794964,2024-01-23,2024-02-02,2024-02-04,1117588,134,389.66,2.23,15,30,566621536277,0,,1113.4,1197.79,Delivered,None,4.3,RT-5229,Jakarta-WH1,Jakarta,Indonesia,20.3,45.7,Air,SiCepat,CR4002,Dedicated,156.07,0.358,Active,3,0,1,5000,1.45,0,12.0,10.0,2.0,1,1,1,2.8573628291330904,1
40493390,7429060,2357286,2025-01-02,2025-01-15,2025-01-16,1527958,291,68.5,1.765,18,30,352806332424,1,2025-01-19,108.96,3644.24,Delivered,None,4.3,RT-7622,Jakarta-WH1,Makassar,Indonesia,391.8,59.6,Truck,Pos Indonesia,CR8645,Contracted,546.3,3.021,Seasonal,2,0,1,10000,7.46,1,14.0,13.0,1.0,1,1,3,1.5906569343065693,1
42044073,7475974,2925896,2024-04-29,2024-05-09,2024-05-11,1944031,251,1061.25,1.218,2,8,824750455910,1,2023-03-24,767.6,816.68,In-Transit,Weather,3.6,RT-4955,Surabaya-WH,Bali,Singapore,1085.2,19.4,Truck,FedEx,CR7295,Spot,20.0,0.976,Active,1,0,0,2000,1.18,1,12.0,10.0,2.0,1,4,0,0.7232979976442874,0
48744769,7946718,2836111,2022-06-20,2022-06-21,2022-06-21,1298821,134,134.36,0.085,15,8,680436768744,0,,788.15,5058.93,Failed,None,3.1,RT-6401,Jakarta-WH1,Jakarta,Vietnam,748.3,44.4,Air,SiCepat,CR2583,Contracted,20.0,0.104,Active,3,1,1,2000,3.99,1,1.0,1.0,0.0,0,6,0,5.865957130098243,0
40230422,7162135,2839780,2023-05-16,2023-05-23,2023-05-23,1579341,167,107.34,2.672,18,20,938638823570,0,,85.26,139.51,Delivered,Customs,4.6,RT-6781,Jakarta-WH1,Jakarta,Indonesia,400.7,9.8,Air,DHL,CR1255,Spot,88.86,0.809,Active,3,1,0,1000,2.83,1,7.0,7.0,0.0,0,5,1,0.7942984907769703,0
45182200,7067020,2259990,2022-06-06,2022-06-18,2022-06-18,1597757,154,5.3,2.409,15,8,602251394325,0,,117.15,413.4,Delivered,None,4.3,RT-6676,Surabaya-WH,Jakarta,Indonesia,316.2,2.8,Truck,Pos Indonesia,CR6035,On-Demand,42.71,1.064,Active,3,0,0,10000,0.74,1,12.0,12.0,0.0,0,6,0,22.103773584905664,0
